"id","reading_time","sensor","location","temp_air","temp_motor","temp_gear","humidity","press_air"
"151","2020-12-12 10:00:57","BME280","Motor","24.46","24.25",,"53.47","1012.08"
"152","2020-12-12 10:01:06","BME280","Motor","24.42","24.31",,"53.52","1012.09"
"153","2020-12-12 10:01:37","BME280","Motor","24.51","24.19",,"55.81","1012.12"
"154","2020-12-12 10:02:08","BME280","Motor","24.76","27.25",,"56.26","1012.11"
"155","2020-12-12 10:02:38","BME280","Motor","24.93","26.94",,"56.57","1012.14"
"156","2020-12-12 10:03:09","BME280","Motor","25.08","26.12",,"56.68","1012.15"
"157","2020-12-12 10:03:40","BME280","Motor","25.23","25.56",,"56.72","1012.16"
"158","2020-12-12 10:04:10","BME280","Motor","25.40","25.31",,"56.34","1012.11"
"159","2020-12-12 10:04:41","BME280","Motor","25.52","25.19",,"55.50","1012.13"
"160","2020-12-12 10:05:12","BME280","Motor","25.31","25.06",,"54.42","1012.14"
"161","2020-12-12 10:05:43","BME280","Motor","25.06","24.87",,"54.26","1012.14"
"162","2020-12-12 10:06:13","BME280","Motor","24.79","24.69",,"54.20","1012.09"
"163","2020-12-12 10:06:44","BME280","Motor","24.60","24.50",,"54.34","1012.10"
"164","2020-12-12 10:07:15","BME280","Motor","24.60","24.37",,"54.16","1012.07"
"165","2020-12-12 10:07:46","BME280","Motor","24.43","24.31",,"54.15","1012.11"
"166","2020-12-12 10:08:16","BME280","Motor","24.36","-127.00",,"54.12","1012.08"
"167","2020-12-12 10:08:47","BME280","Motor","24.46","24.12",,"55.86","1012.10"
"168","2020-12-12 10:09:18","BME280","Motor","24.70","24.12",,"56.37","1012.11"
"169","2020-12-12 10:09:48","BME280","Motor","24.85","24.12",,"56.90","1012.12"
"170","2020-12-12 10:10:19","BME280","Motor","25.05","24.19",,"56.97","962.76"
"171","2020-12-12 10:10:50","BME280","Motor","25.19","24.25",,"56.87","1012.13"
"172","2020-12-12 10:11:21","BME280","Motor","25.34","24.37",,"56.62","1012.13"
"173","2020-12-12 10:11:51","BME280","Motor","25.48","24.37",,"55.79","1012.12"
"174","2020-12-12 10:12:22","BME280","Motor","25.29","24.44",,"54.54","1012.04"
"175","2020-12-12 10:12:53","BME280","Motor","25.03","24.37",,"54.37","1012.08"
"176","2020-12-12 10:13:24","BME280","Motor","24.87","24.31",,"54.24","1012.05"
"177","2020-12-12 10:13:54","BME280","Motor","24.87","24.19",,"54.08","1012.07"
"178","2020-12-12 10:14:25","BME280","Motor","24.91","24.12",,"53.67","1012.05"
"179","2020-12-12 10:14:56","BME280","Motor","24.94","24.06",,"53.36","1012.05"
"180","2020-12-12 10:15:26","BME280","Motor","24.91","24.06",,"53.13","1012.09"
"181","2020-12-12 10:15:57","BME280","Motor","24.88","23.94",,"52.96","1012.06"
"182","2020-12-12 10:16:28","BME280","Motor","24.85","23.87",,"52.85","1012.02"
"183","2020-12-12 10:16:58","BME280","Motor","24.87","23.87",,"55.06","1011.99"
"184","2020-12-12 10:17:29","BME280","Motor","25.11","23.94",,"55.45","1012.04"
"185","2020-12-12 10:18:00","BME280","Motor","25.28","24.00",,"55.94","1012.01"
"186","2020-12-12 10:18:30","BME280","Motor","25.45","24.06",,"56.07","1012.03"
"187","2020-12-12 10:19:01","BME280","Motor","25.61","24.25",,"56.26","1012.02"
"188","2020-12-12 10:19:32","BME280","Motor","25.78","24.31",,"56.12","1012.04"
